Iteration,Consistency_Violation,Infeasible_Corners,Step_Size,Converged
0,2059.152402,0,0.010000,False
1,2059.152402,0,0.010000,False
2,2059.152402,0,0.010000,False
3,2059.152402,0,0.010000,False
4,2059.152402,0,0.010000,False
5,2059.152402,0,0.010000,False
6,2059.152402,0,0.010000,False
7,2059.152402,0,0.010000,False
8,2059.152402,0,0.010000,False
9,2059.152402,0,0.010000,False
10,2059.152402,0,0.010000,False
11,2059.152402,0,0.010000,False
12,2059.152402,0,0.010000,False
13,2059.152402,0,0.010000,False
14,2059.152402,0,0.010000,False
15,2059.152402,0,0.010000,False
16,2059.152402,0,0.010000,False
17,2059.152402,0,0.010000,False
18,2059.152402,0,0.010000,False
19,2059.152402,0,0.010000,False
20,2059.152402,0,0.010000,False
21,2059.152402,0,0.010000,True
