startpoint,endpoint,type
_115218_,_115744_,b
_115218_,_115718_,b
_115218_,_115719_,b
_115218_,_115720_,b
_115218_,_115721_,b
_115218_,_115722_,b
_115218_,_115723_,b
_115218_,_115724_,b
_115218_,_115725_,b
_115218_,_115726_,b
_115218_,_115728_,b
_115218_,_115729_,b
_115218_,_115730_,b
_115218_,_115731_,b
_115218_,_115732_,b
_115218_,_115733_,b
_115218_,_115740_,b
_115218_,_115738_,b
_115218_,_115727_,b
_115218_,_117569_,b
_115218_,_115739_,b
_115218_,_115792_,b
_115218_,_117839_,b
_115218_,_117840_,b
_115218_,_117841_,b
_115218_,_117842_,b
_115218_,_117843_,b
_115218_,_117844_,b
_115218_,_115742_,b
_115218_,_115776_,b
_115218_,_115214_,b
_115218_,_115780_,b
_115218_,_115781_,b
_115218_,_115782_,b
_115218_,_115783_,b
_115218_,_115741_,b
_115744_,_115743_,d
_115718_,_115779_,b
_115718_,_115745_,d
_115718_,_115751_,d
_115718_,_115746_,d
_115718_,_115749_,d
_115718_,_115747_,d
_115718_,_115753_,d
_115718_,_115755_,d
_115718_,_115757_,d
_115718_,_115759_,d
_115718_,_115771_,d
_115718_,_115772_,d
_115718_,_115754_,d
_115718_,_115758_,d
_115718_,_115760_,d
_115718_,_115756_,d
_115718_,_115773_,d
_115718_,_115775_,d
_115718_,_115675_,d
_115718_,_115737_,d
_115718_,_115778_,d
_115718_,_115777_,d
_115718_,_115789_,d
_115718_,_115735_,d
_115740_,_115740_,d
_115738_,_115734_,d
_117569_,_117569_,d
_115792_,_115793_,d
_117839_,_117839_,d
_117840_,_117840_,d
_117841_,_117841_,d
_117842_,_117842_,d
_117843_,_117843_,d
_117844_,_117844_,d
_115946_,_115562_,b
_115946_,_115572_,b
_115946_,_115558_,b
_115946_,_115560_,b
_115946_,_115564_,b
_115946_,_115559_,b
_115946_,_115561_,b
_115946_,_115563_,b
_115946_,_115565_,b
_115946_,_115567_,b
_115946_,_115569_,b
_115946_,_115571_,b
_115946_,_115573_,b
