Iteration,Consistency_Violation,Infeasible_Corners,Step_Size,Converged
0,52.565000,0,0.010000,False
1,52.561872,0,0.010000,False
2,52.559244,0,0.010000,False
3,52.556616,0,0.010000,False
4,52.553988,0,0.010000,False
5,52.551360,0,0.010000,False
6,52.548733,0,0.010000,False
7,52.546105,0,0.010000,False
8,52.543478,0,0.010000,False
9,52.540851,0,0.010000,False
10,52.538224,0,0.010000,False
11,52.535597,0,0.010000,False
12,52.532970,0,0.010000,False
13,52.530343,0,0.010000,False
14,52.527717,0,0.010000,False
15,52.525090,0,0.010000,False
16,52.522464,0,0.010000,False
17,52.519838,0,0.010000,False
18,52.517212,0,0.010000,False
19,52.565000,0,0.010000,False
20,52.565000,0,0.010000,False
21,52.565000,0,0.010000,False
22,52.565000,0,0.010000,False
23,52.565000,0,0.010000,False
24,52.565000,0,0.010000,False
25,52.565000,0,0.010000,False
26,52.565000,0,0.010000,False
27,52.565000,0,0.010000,False
28,52.565000,0,0.010000,False
29,52.565000,0,0.010000,False
30,52.565000,0,0.010000,False
31,52.565000,0,0.010000,False
32,52.565000,0,0.010000,False
33,52.565000,0,0.010000,False
34,52.565000,0,0.010000,False
35,52.565000,0,0.010000,False
36,52.565000,0,0.010000,False
37,52.565000,0,0.010000,False
38,52.565000,0,0.010000,False
39,52.565000,0,0.010000,False
40,52.565000,0,0.010000,True
