startpoint,endpoint,type
_594_,_618_,b
_594_,_617_,b
_594_,_614_,b
_594_,_613_,b
_594_,_616_,b
_594_,_615_,b
_594_,_610_,b
_618_,_602_,d
_617_,_601_,d
_614_,_598_,d
_613_,_597_,d
_616_,_600_,d
_615_,_599_,d
_602_,_589_,b
_602_,_591_,b
_602_,_593_,b
_602_,_595_,b
_602_,_587_,b
_602_,_588_,b
_602_,_590_,b
_602_,_592_,b
_602_,_594_,b
_602_,_596_,b
_602_,_610_,b
_602_,_586_,b
_602_,_585_,b
_602_,_608_,b
_602_,_609_,b
_602_,_603_,b
_602_,_605_,b
_602_,_606_,b
_602_,_607_,b
_602_,_604_,b
_602_,_597_,b
_602_,_598_,b
_602_,_599_,b
_602_,_600_,b
_602_,_601_,b
_602_,_602_,b
_602_,_618_,b
_589_,_605_,b
_591_,_607_,b
_593_,_609_,b
_595_,_611_,b
_590_,_612_,b
_590_,_611_,b
_590_,_606_,b
_592_,_608_,b
_596_,_612_,b
_612_,_596_,d
_611_,_595_,d
_610_,_594_,d
_586_,_584_,c
_585_,_585_,c
_585_,_584_,c
_608_,_592_,d
_609_,_593_,d
_603_,_603_,d
_603_,_587_,b
_605_,_589_,d
_606_,_590_,d
_607_,_591_,d
_604_,_588_,d
_604_,_604_,b
_597_,_613_,b
_598_,_614_,b
_599_,_615_,b
_600_,_616_,b
_601_,_617_,b
_584_,_586_,d
