startpoint,endpoint,type
_114301_,_116403_,b
_114301_,_115683_,b
_114301_,_116404_,b
_114301_,_116401_,b
_114301_,_116402_,b
_114301_,_115682_,b
_114301_,_116405_,b
_114301_,_115685_,b
_114301_,_115276_,b
_114301_,_115684_,b
_114301_,_115275_,b
_114301_,_115686_,b
_114301_,_115274_,b
_114301_,_116603_,b
_114301_,_115681_,b
_114301_,_116601_,b
_114301_,_116604_,b
_114301_,_116602_,b
_114301_,_115277_,b
_114301_,_115680_,b
_114301_,_115767_,b
_114301_,_115273_,b
_114301_,_115192_,b
_114301_,_115193_,b
_114301_,_115603_,b
_114301_,_115604_,b
_114301_,_116605_,b
_114301_,_115194_,b
_114301_,_115195_,b
_114301_,_115602_,b
_114301_,_117177_,b
_114301_,_115766_,b
_114301_,_117178_,b
_114301_,_115196_,b
_114301_,_115272_,b
_114301_,_117175_,b
_114301_,_116400_,b
_114301_,_117179_,b
_114301_,_117176_,b
_114301_,_116399_,b
_114301_,_115271_,b
_114301_,_115768_,b
_114301_,_115678_,b
_114301_,_116932_,b
_114301_,_115679_,b
_114301_,_116931_,b
_114301_,_116933_,b
_114301_,_115191_,b
_114301_,_116725_,b
_114301_,_116727_,b
_114301_,_116600_,b
_114301_,_116599_,b
_114301_,_115765_,b
_114301_,_116726_,b
_114301_,_116724_,b
_114301_,_116728_,b
_114301_,_115764_,b
_114301_,_115190_,b
_114301_,_116930_,b
_114301_,_114990_,b
_114301_,_114991_,b
_114301_,_115723_,b
_114301_,_115518_,b
_114301_,_117260_,b
_114301_,_115520_,b
_114301_,_116929_,b
_114301_,_117174_,b
_114301_,_115601_,b
_114301_,_115724_,b
_114301_,_115519_,b
_114301_,_116850_,b
_114301_,_115521_,b
_114301_,_116851_,b
_114301_,_115763_,b
_114301_,_114949_,b
_114301_,_114360_,b
_114301_,_115600_,b
_114301_,_115561_,b
_114301_,_116723_,b
_114301_,_114950_,b
_114301_,_117173_,b
_114301_,_115522_,b
_114301_,_115762_,b
_114301_,_117259_,b
_114301_,_114361_,b
_114301_,_116646_,b
_114301_,_114359_,b
_114301_,_115562_,b
_114301_,_114992_,b
_114301_,_115726_,b
_114301_,_115727_,b
_114301_,_117261_,b
_114301_,_114951_,b
_114301_,_113515_,b
_114301_,_116849_,b
_114301_,_115072_,b
_114301_,_116722_,b
_114301_,_113516_,b
_114301_,_116329_,b
_114301_,_115725_,b
_114301_,_113517_,b
_114301_,_115073_,b
_114301_,_115563_,b
_114301_,_116808_,b
_114301_,_113518_,b
_114301_,_116809_,b
_114301_,_113519_,b
_114301_,_116644_,b
_114301_,_116328_,b
_114301_,_115599_,b
_114301_,_116806_,b
_114301_,_116645_,b
_114301_,_116330_,b
_114301_,_115317_,b
_114301_,_116807_,b
_114301_,_114666_,b
_114301_,_115598_,b
_114301_,_115677_,b
_114301_,_114624_,b
_114301_,_115316_,b
_114301_,_117054_,b
_114301_,_115031_,b
_114301_,_114625_,b
_114301_,_114906_,b
_114301_,_117055_,b
_114301_,_115560_,b
_114301_,_115032_,b
_114301_,_116810_,b
_114301_,_114907_,b
_114301_,_115840_,b
_114301_,_114867_,b
_114301_,_114507_,b
_114301_,_114509_,b
_114301_,_115559_,b
_114301_,_114703_,b
_114301_,_114908_,b
_114301_,_117056_,b
_114301_,_114508_,b
_114301_,_114868_,b
_114301_,_115318_,b
_114301_,_117257_,b
_114301_,_114665_,b
_114301_,_115270_,b
_114301_,_114989_,b
_114301_,_114704_,b
_114301_,_114909_,b
_114301_,_116685_,b
_114301_,_117258_,b
_114301_,_116686_,b
_114301_,_115722_,b
_114301_,_115838_,b
_114301_,_114667_,b
_114301_,_116683_,b
_114301_,_116288_,b
_114301_,_115721_,b
_114301_,_114626_,b
_114301_,_115033_,b
_114301_,_116684_,b
_114301_,_116687_,b
_114301_,_116398_,b
_114301_,_115839_,b
_114301_,_116287_,b
_114301_,_115114_,b
_114301_,_116286_,b
_114301_,_115070_,b
_114301_,_115841_,b
_114301_,_113514_,b
_114301_,_114988_,b
_114301_,_114705_,b
_114301_,_116804_,b
_114301_,_115071_,b
_114301_,_116643_,b
_114301_,_114623_,b
_114301_,_114706_,b
_114301_,_116805_,b
_114301_,_116766_,b
_114301_,_115517_,b
_114301_,_114910_,b
_114301_,_116972_,b
_114301_,_116285_,b
_114301_,_116289_,b
_114301_,_115558_,b
_114301_,_116891_,b
_114301_,_115837_,b
_114301_,_116973_,b
_114301_,_114622_,b
_114301_,_115113_,b
_114301_,_115111_,b
_114301_,_115112_,b
_114301_,_116598_,b
_114301_,_115557_,b
_114301_,_114947_,b
_114301_,_116928_,b
_114301_,_116974_,b
_114301_,_116971_,b
_114301_,_113513_,b
_114301_,_116892_,b
_114301_,_116848_,b
_114301_,_115115_,b
_114301_,_115516_,b
_114301_,_116889_,b
_114301_,_117093_,b
_114301_,_116597_,b
_114301_,_114948_,b
_114301_,_116642_,b
_114301_,_117094_,b
_114301_,_115269_,b
_114301_,_116970_,b
_114301_,_115836_,b
_114301_,_115480_,b
_114301_,_116765_,b
_114301_,_114987_,b
_114301_,_116847_,b
_114301_,_116284_,b
_114301_,_114707_,b
_114301_,_116890_,b
_114301_,_114869_,b
_114301_,_115596_,b
_114301_,_114621_,b
_114301_,_114870_,b
_114301_,_114986_,b
_114301_,_115597_,b
_114301_,_116803_,b
_114301_,_116283_,b
_114301_,_116888_,b
_114301_,_114620_,b
_114301_,_115479_,b
_114301_,_117256_,b
_114301_,_114829_,b
_114301_,_115155_,b
_114301_,_117255_,b
_114301_,_114433_,b
_114301_,_115835_,b
_114301_,_116682_,b
_114301_,_116764_,b
_114301_,_114317_,b
_114301_,_116522_,b
_114301_,_115189_,b
_114301_,_116846_,b
_114301_,_116887_,b
_114301_,_114316_,b
_114301_,_114432_,b
_114301_,_115481_,b
_114301_,_116802_,b
_114301_,_114866_,b
_114301_,_116969_,b
_114301_,_114828_,b
_114301_,_116397_,b
_114301_,_117172_,b
_114301_,_116968_,b
_114301_,_115156_,b
_114301_,_116681_,b
_114301_,_115188_,b
_114301_,_114702_,b
_114301_,_114871_,b
_114301_,_115154_,b
_114301_,_114830_,b
_114301_,_116763_,b
_114301_,_117171_,b
_114301_,_115069_,b
_114301_,_115110_,b
_114301_,_116845_,b
_114301_,_114434_,b
_114301_,_115068_,b
_114301_,_116523_,b
_114301_,_116521_,b
_114301_,_115761_,b
_114301_,_114904_,b
_114301_,_114905_,b
_114301_,_114865_,b
_114301_,_116641_,b
_114301_,_114701_,b
_114301_,_115314_,b
_114301_,_116886_,b
_114301_,_115315_,b
_114301_,_115109_,b
_114301_,_116721_,b
_114301_,_116562_,b
_114301_,_116563_,b
_114301_,_115760_,b
