Iteration,Consistency_Violation,Infeasible_Corners,Step_Size,Converged
0,209.135000,0,0.010000,False
1,209.124043,0,0.010000,False
2,209.113587,0,0.010000,False
3,209.103131,0,0.010000,False
4,209.092676,0,0.010000,False
5,209.135000,0,0.010000,False
6,209.135000,0,0.010000,False
7,209.135000,0,0.010000,False
8,209.135000,0,0.010000,False
9,209.135000,0,0.010000,False
10,209.135000,0,0.010000,False
11,209.135000,0,0.010000,False
12,209.135000,0,0.010000,False
13,209.135000,0,0.010000,False
14,209.135000,0,0.010000,False
15,209.135000,0,0.010000,False
16,209.135000,0,0.010000,False
17,209.135000,0,0.010000,False
18,209.135000,0,0.010000,False
19,209.135000,0,0.010000,False
20,209.135000,0,0.010000,False
21,209.135000,0,0.010000,False
22,209.135000,0,0.010000,False
23,209.135000,0,0.010000,False
24,209.135000,0,0.010000,False
25,209.135000,0,0.010000,False
26,209.135000,0,0.010000,True
