startpoint,endpoint,type
_44097_,_44155_,b
_44097_,_44164_,b
_44097_,_44156_,b
_44097_,_44153_,b
_44097_,_44163_,b
_44097_,_44171_,b
_44097_,_44157_,b
_44097_,_44161_,b
_44097_,_43995_,b
_44097_,_43992_,b
_44097_,_43999_,b
_44097_,_43997_,b
_44097_,_43996_,b
_44097_,_43993_,b
_44097_,_43998_,b
_44097_,_43994_,b
_44187_,_44175_,b
_44187_,_44167_,b
_44187_,_44145_,b
_44187_,_44147_,b
_44187_,_44170_,b
_44187_,_44144_,b
_44187_,_44148_,b
_44187_,_44162_,b
_44187_,_44027_,b
_44187_,_44030_,b
_44187_,_44031_,b
_44187_,_44024_,b
_44187_,_44026_,b
_44121_,_44109_,b
_44121_,_44084_,b
_44121_,_44100_,b
_44121_,_44086_,b
_44121_,_44085_,b
_44121_,_44108_,b
_44121_,_44101_,b
_44121_,_44102_,b
_44121_,_44105_,b
_44121_,_44082_,b
_44121_,_44090_,b
_44121_,_44045_,b
_44121_,_44047_,b
_44121_,_44044_,b
_44121_,_44046_,b
_44121_,_44043_,b
_44121_,_44041_,b
_44176_,_44187_,b
_44176_,_44206_,b
_44176_,_44198_,b
_44176_,_44199_,b
_44176_,_44184_,b
_44176_,_44207_,b
_44176_,_44200_,b
_44176_,_44054_,b
_44176_,_44048_,b
_44176_,_44051_,b
_44168_,_44196_,b
_44168_,_44193_,b
_44168_,_44195_,b
_44168_,_44201_,b
_44168_,_44189_,b
_44168_,_44183_,b
_44168_,_43959_,b
_44168_,_43957_,b
_44168_,_43955_,b
_44168_,_43954_,b
_44168_,_43958_,b
_44183_,_44197_,b
_44183_,_44185_,b
_44183_,_44053_,b
_44183_,_44049_,b
_44183_,_44055_,b
_44160_,_44091_,b
_44160_,_44092_,b
_44160_,_44097_,b
_44160_,_44089_,b
_44160_,_44099_,b
_44160_,_44093_,b
_44160_,_44104_,b
_44160_,_44098_,b
_44160_,_44094_,b
_44160_,_44087_,b
_44160_,_44015_,b
_44160_,_44008_,b
_44160_,_44011_,b
_44160_,_44013_,b
_44160_,_44009_,b
_44160_,_44014_,b
_44160_,_44012_,b
_44160_,_44010_,b
_44153_,_44131_,b
_44153_,_44141_,b
