startpoint,endpoint,type
_36314_,_34524_,b
_36314_,_34763_,b
_36314_,_34795_,b
_36314_,_34827_,b
_36314_,_34859_,b
_36314_,_34891_,b
_36314_,_34923_,b
_36314_,_34955_,b
_36314_,_34987_,b
_36314_,_35019_,b
_36314_,_35051_,b
_36314_,_35083_,b
_36314_,_35115_,b
_36314_,_35147_,b
_36314_,_35179_,b
_36314_,_35211_,b
_36314_,_35243_,b
_36314_,_35275_,b
_36314_,_35307_,b
_36314_,_35339_,b
_36314_,_35371_,b
_36314_,_35403_,b
_36314_,_35435_,b
_36314_,_35467_,b
_36314_,_35499_,b
_36314_,_35531_,b
_36314_,_35563_,b
_36314_,_35595_,b
_36314_,_35627_,b
_36314_,_35659_,b
_36314_,_35691_,b
_36314_,_34764_,b
_36314_,_34796_,b
_36314_,_34828_,b
_36314_,_34860_,b
_36314_,_34892_,b
_36314_,_34924_,b
_36314_,_34956_,b
_36314_,_34988_,b
_36314_,_35020_,b
_36314_,_35052_,b
_36314_,_35084_,b
_36314_,_35116_,b
_36314_,_35148_,b
_36314_,_35180_,b
_36314_,_35212_,b
_36314_,_35244_,b
_36314_,_35276_,b
_36314_,_35308_,b
_36314_,_35340_,b
_36314_,_35372_,b
_36314_,_35404_,b
_36314_,_35436_,b
_36314_,_35468_,b
_36314_,_35500_,b
_36314_,_35532_,b
_36314_,_35564_,b
_36314_,_35596_,b
_36314_,_35628_,b
_36314_,_35660_,b
_36314_,_35692_,b
_36314_,_34762_,b
_36314_,_34794_,b
_36314_,_34826_,b
_36314_,_34858_,b
_36314_,_34890_,b
_36314_,_34922_,b
_36314_,_34954_,b
_36314_,_34986_,b
_36314_,_35018_,b
_36314_,_35050_,b
_36314_,_35082_,b
_36314_,_35114_,b
_36314_,_35146_,b
_36314_,_35178_,b
_36314_,_35210_,b
_36314_,_35242_,b
_36314_,_35274_,b
_36314_,_35306_,b
_36314_,_35338_,b
_36314_,_35370_,b
_36314_,_35402_,b
_36314_,_35434_,b
_36314_,_35466_,b
_36314_,_35498_,b
_36314_,_35530_,b
_36314_,_35562_,b
_36314_,_35594_,b
_36314_,_35626_,b
_36314_,_35658_,b
_36314_,_35690_,b
_36314_,_34761_,b
_36314_,_34793_,b
_36314_,_34825_,b
_36314_,_34857_,b
_36314_,_34889_,b
_36314_,_34921_,b
_36314_,_34953_,b
_36314_,_34985_,b
_36314_,_35017_,b
_36314_,_35049_,b
_36314_,_35081_,b
_36314_,_35113_,b
_36314_,_35145_,b
_36314_,_35177_,b
_36314_,_35209_,b
_36314_,_35241_,b
_36314_,_35273_,b
_36314_,_35305_,b
_36314_,_35337_,b
_36314_,_35369_,b
_36314_,_35401_,b
_36314_,_35433_,b
_36314_,_35465_,b
_36314_,_35497_,b
_36314_,_35529_,b
_36314_,_35561_,b
_36314_,_35593_,b
_36314_,_35625_,b
_36314_,_35657_,b
_36314_,_35689_,b
_36314_,_34489_,b
_36314_,_34490_,b
_36314_,_34759_,b
_36314_,_34791_,b
_36314_,_34823_,b
_36314_,_34855_,b
_36314_,_34887_,b
_36314_,_34919_,b
_36314_,_34951_,b
_36314_,_34983_,b
_36314_,_35015_,b
_36314_,_35047_,b
_36314_,_35079_,b
_36314_,_35111_,b
_36314_,_35143_,b
_36314_,_35175_,b
_36314_,_35207_,b
_36314_,_35239_,b
_36314_,_35271_,b
_36314_,_35303_,b
_36314_,_35335_,b
_36314_,_35367_,b
_36314_,_35399_,b
_36314_,_35431_,b
_36314_,_35463_,b
_36314_,_35495_,b
_36314_,_35527_,b
_36314_,_35559_,b
_36314_,_35591_,b
_36314_,_35623_,b
_36314_,_35655_,b
_36314_,_35687_,b
_36314_,_34488_,b
_36314_,_34487_,b
_36314_,_34760_,b
_36314_,_34792_,b
_36314_,_34824_,b
_36314_,_34856_,b
_36314_,_34888_,b
_36314_,_34920_,b
_36314_,_34952_,b
_36314_,_34984_,b
_36314_,_35016_,b
_36314_,_35048_,b
_36314_,_35080_,b
_36314_,_35112_,b
_36314_,_35144_,b
_36314_,_35176_,b
_36314_,_35208_,b
_36314_,_35240_,b
_36314_,_35272_,b
