startpoint,endpoint,type
_10775_,_10891_,b
_10775_,_10919_,b
_10775_,_10935_,b
_10775_,_10890_,b
_10775_,_10874_,b
_10775_,_10807_,b
_10775_,_10903_,b
_10775_,_10911_,b
_10775_,_10927_,b
_10775_,_10806_,b
_10775_,_10873_,b
_10775_,_10889_,b
_10775_,_10902_,b
_10775_,_10910_,b
_10775_,_10918_,b
_10775_,_10926_,b
_10775_,_10934_,b
_10775_,_10916_,b
_10775_,_10932_,b
_10775_,_10887_,b
_10775_,_10871_,b
_10775_,_10804_,b
_10775_,_10900_,b
_10775_,_10908_,b
_10775_,_10924_,b
_10775_,_10805_,b
_10775_,_10872_,b
_10775_,_10888_,b
_10775_,_10901_,b
_10775_,_10909_,b
_10775_,_10917_,b
_10775_,_10925_,b
_10775_,_10933_,b
_10775_,_10803_,b
_10775_,_10899_,b
_10775_,_10907_,b
_10775_,_10915_,b
_10775_,_10931_,b
_10775_,_10870_,b
_10775_,_10886_,b
_10775_,_10740_,b
_10775_,_10772_,b
_10775_,_10773_,b
_10775_,_10914_,b
_10775_,_10930_,b
_10775_,_10885_,b
_10775_,_10922_,b
_10775_,_10869_,b
_10775_,_10802_,b
_10775_,_10898_,b
_10775_,_10906_,b
_10775_,_10800_,b
_10775_,_10896_,b
_10775_,_10920_,b
_10775_,_10923_,b
_10775_,_10739_,b
_10775_,_10912_,b
_10775_,_10928_,b
_10775_,_10883_,b
_10775_,_10867_,b
_10775_,_10738_,b
_10775_,_10913_,b
_10775_,_10929_,b
_10775_,_10801_,b
_10775_,_10884_,b
_10775_,_10905_,b
_10775_,_10868_,b
_10775_,_10897_,b
_10775_,_10771_,b
_10775_,_10770_,b
_10775_,_10866_,b
_10775_,_10825_,b
_10775_,_10815_,b
_10775_,_10833_,b
_10775_,_10841_,b
_10775_,_10849_,b
_10775_,_10858_,b
_10775_,_10882_,b
_10775_,_10904_,b
_10775_,_10736_,b
_10775_,_10921_,b
_10775_,_10737_,b
_10775_,_10840_,b
_10775_,_10832_,b
_10775_,_10814_,b
