Iteration,Consistency_Violation,Infeasible_Corners,Step_Size,Converged
0,136.545000,0,0.010000,False
1,136.537673,0,0.010000,False
2,136.530846,0,0.010000,False
3,136.524019,0,0.010000,False
4,136.517193,0,0.010000,False
5,136.510367,0,0.010000,False
6,136.503542,0,0.010000,False
7,136.496717,0,0.010000,False
8,136.545000,0,0.010000,False
9,136.545000,0,0.010000,False
10,136.545000,0,0.010000,False
11,136.545000,0,0.010000,False
12,136.545000,0,0.010000,False
13,136.545000,0,0.010000,False
14,136.545000,0,0.010000,False
15,136.545000,0,0.010000,False
16,136.545000,0,0.010000,False
17,136.545000,0,0.010000,False
18,136.545000,0,0.010000,False
19,136.545000,0,0.010000,False
20,136.545000,0,0.010000,False
21,136.545000,0,0.010000,False
22,136.545000,0,0.010000,False
23,136.545000,0,0.010000,False
24,136.545000,0,0.010000,False
25,136.545000,0,0.010000,False
26,136.545000,0,0.010000,False
27,136.545000,0,0.010000,False
28,136.545000,0,0.010000,False
29,136.545000,0,0.010000,True
